date,hour,n
2023.03.06,N2,13
2023.03.06,N3,29
2023.03.06,N4,58
2023.03.06,N5,69
2023.03.06,PB,4
2023.03.04,N1,10
2023.03.04,N2,16
2023.03.04,N3,18
2023.03.04,N4,40
2023.03.04,N5,66
2023.03.04,PB,16
2023.03.01,N1,2
2023.03.01,N2,9
2023.03.01,N3,28
2023.03.01,N4,36
2023.03.01,N5,53
2023.03.01,PB,4
2023.02.27,N1,16
2023.02.27,N2,28
2023.02.27,N3,49
2023.02.27,N4,51
2023.02.27,N5,55
2023.02.27,PB,23
2023.02.25,N1,11
2023.02.25,N2,24
2023.02.25,N3,58
2023.02.25,N4,66
2023.02.25,N5,67
2023.02.25,PB,26
2023.02.22,N1,11
2023.02.22,N2,19
2023.02.22,N3,39
2023.02.22,N4,44
2023.02.22,N5,65
2023.02.22,PB,7
2023.02.20,N1,3
2023.02.20,N2,17
2023.02.20,N3,26
2023.02.20,N4,38
2023.02.20,N5,54
2023.02.20,PB,15
2023.02.18,N1,8
2023.02.18,N2,21
2023.02.18,N3,31
2023.02.18,N4,32
2023.02.18,N5,37
2023.02.18,PB,23
2023.02.15,N1,31
2023.02.15,N2,32
2023.02.15,N3,54
2023.02.15,N4,60
2023.02.15,N5,63
2023.02.15,PB,12
2023.02.13,N1,17
2023.02.13,N2,26
2023.02.13,N3,37
2023.02.13,N4,61
2023.02.13,N5,65
2023.02.13,PB,2
2023.02.11,N1,10
2023.02.11,N2,23
2023.02.11,N3,30
2023.02.11,N4,54
2023.02.11,N5,65
2023.02.11,PB,11
2023.02.08,N1,52
2023.02.08,N2,58
2023.02.08,N3,59
2023.02.08,N4,64
2023.02.08,N5,66
2023.02.08,PB,9
2023.02.06,N1,5
2023.02.06,N2,11
2023.02.06,N3,22
2023.02.06,N4,23
2023.02.06,N5,69
2023.02.06,PB,7
2023.02.04,N1,2
2023.02.04,N2,8
2023.02.04,N3,15
2023.02.04,N4,19
2023.02.04,N5,58
2023.02.04,PB,10
2023.02.01,N1,31
2023.02.01,N2,43
2023.02.01,N3,58
2023.02.01,N4,59
2023.02.01,N5,66
2023.02.01,PB,9
2023.01.30,N1,1
2023.01.30,N2,4
2023.01.30,N3,12
2023.01.30,N4,36
2023.01.30,N5,49
2023.01.30,PB,5
2023.01.28,N1,2
2023.01.28,N2,18
2023.01.28,N3,23
2023.01.28,N4,27
2023.01.28,N5,47
2023.01.28,PB,15
2023.01.25,N1,9
2023.01.25,N2,17
2023.01.25,N3,20
2023.01.25,N4,38
2023.01.25,N5,40
2023.01.25,PB,18
2023.01.23,N1,12
2023.01.23,N2,31
2023.01.23,N3,47
2023.01.23,N4,58
2023.01.23,N5,60
2023.01.23,PB,23
2023.01.21,N1,5
2023.01.21,N2,14
2023.01.21,N3,19
2023.01.21,N4,46
2023.01.21,N5,64
2023.01.21,PB,22
2023.01.18,N1,6
2023.01.18,N2,15
2023.01.18,N3,22
2023.01.18,N4,42
2023.01.18,N5,47
2023.01.18,PB,26
2023.01.16,N1,4
2023.01.16,N2,14
2023.01.16,N3,33
2023.01.16,N4,39
2023.01.16,N5,61
2023.01.16,PB,3
2023.01.14,N1,24
2023.01.14,N2,26
2023.01.14,N3,39
2023.01.14,N4,47
2023.01.14,N5,57
2023.01.14,PB,23
2023.01.11,N1,4
2023.01.11,N2,8
2023.01.11,N3,46
2023.01.11,N4,47
2023.01.11,N5,48
2023.01.11,PB,5
2023.01.09,N1,18
2023.01.09,N2,43
2023.01.09,N3,48
2023.01.09,N4,60
2023.01.09,N5,69
2023.01.09,PB,14
2023.01.07,N1,35
2023.01.07,N2,36
2023.01.07,N3,44
2023.01.07,N4,45
2023.01.07,N5,67
2023.01.07,PB,14
2023.01.04,N1,12
2023.01.04,N2,32
2023.01.04,N3,56
2023.01.04,N4,67
2023.01.04,N5,68
2023.01.04,PB,26
2023.01.02,N1,7
2023.01.02,N2,9
2023.01.02,N3,12
2023.01.02,N4,31
2023.01.02,N5,62
2023.01.02,PB,22
2022.12.31,N1,18
2022.12.31,N2,37
2022.12.31,N3,44
2022.12.31,N4,50
2022.12.31,N5,64
2022.12.31,PB,11
2022.12.28,N1,26
2022.12.28,N2,32
2022.12.28,N3,38
2022.12.28,N4,45
2022.12.28,N5,56
2022.12.28,PB,1
2022.12.26,N1,17
2022.12.26,N2,41
2022.12.26,N3,47
